entity,class,kb_id,link_confidence,mentions
Structure of entorhinal cortex,CANCER,C0175196,1.0,1
Vascular Diseases,GENE_OR_GENE_PRODUCT,C0042373,1.0,1
Cerebral Amyloid Angiopathy,PATHOLOGICAL_FORMATION,C0085220,0.7796820402145386,1
MSRA gene,SIMPLE_CHEMICAL,C1417375,1.0,1
carbocysteine,SIMPLE_CHEMICAL,C0006992,0.7118768095970154,1
Methylenetetrahydrofolate reductase (NADPH),GENE_OR_GENE_PRODUCT,C0066357,1.0,1
MTHFD1 gene,GENE_OR_GENE_PRODUCT,C1417420,1.0,1
Skeletal,ORGAN,C0521324,0.9999999403953552,1
Muscle (organ),MULTI_TISSUE_STRUCTURE,C4083049,0.8185504078865051,1
superoxide dismutase,GENE_OR_GENE_PRODUCT,C0038838,1.0,1
biotin,SIMPLE_CHEMICAL,C0005575,0.9999998807907104,1
citalopram,SIMPLE_CHEMICAL,C0008845,1.0,1
Glutathione S-Transferase,GENE_OR_GENE_PRODUCT,C0017837,1.0,1
GSTO1 gene,GENE_OR_GENE_PRODUCT,C1421933,1.0,1
GSTO2 gene,GENE_OR_GENE_PRODUCT,C1427885,1.0,1
glutathione,SIMPLE_CHEMICAL,C0017817,1.0,1
Coronal (qualifier value),GENE_OR_GENE_PRODUCT,C0205123,0.7068936228752136,1
acetaminophen,SIMPLE_CHEMICAL,C0000970,1.0,1
Bromodeoxyuridine,GENE_OR_GENE_PRODUCT,C0006233,1.0,1
RBFOX3 gene,GENE_OR_GENE_PRODUCT,C3146324,1.0,1
EGR1 gene,GENE_OR_GENE_PRODUCT,C1414314,0.9999999403953552,1
Posterior cortical cataract,MULTI_TISSUE_STRUCTURE,C4023650,0.7978537678718567,1
Hydroxyl Radical,SIMPLE_CHEMICAL,C0063146,0.9999999403953552,1
sodium,SIMPLE_CHEMICAL,C0037473,1.0,1
homocysteic acid,SIMPLE_CHEMICAL,C0062933,1.0,1
GRN gene,GENE_OR_GENE_PRODUCT,C1415311,1.0,1
3-chlorotyrosine,SIMPLE_CHEMICAL,C0254781,1.0,1
deferoxamine,SIMPLE_CHEMICAL,C0011145,1.0,1
uric acid,SIMPLE_CHEMICAL,C0041980,1.0,1
Vimentin,GENE_OR_GENE_PRODUCT,C0042666,1.0,1
Hepatosplenomegaly,ORGANISM,C0019214,1.0,1
Cherry Flavor,GENE_OR_GENE_PRODUCT,C0770609,0.8757538795471191,1
Endothelial Progenitor Cells,CELL,C3850017,1.0,1
Endothelium,TISSUE,C0014257,0.9999998807907104,1
Cyclophosphamide/Fluorouracil/Tamoxifen,SIMPLE_CHEMICAL,C0280462,1.0,1
Raclopride,SIMPLE_CHEMICAL,C0072953,1.0,1
Caudate nucleus structure,TISSUE,C0007461,1.0,1
TATA-Box Binding Protein,GENE_OR_GENE_PRODUCT,C0144555,1.0,1
tributyl phosphate,GENE_OR_GENE_PRODUCT,C0077021,1.0,1
SPINOCEREBELLAR ATAXIA 17,GENE_OR_GENE_PRODUCT,C1846707,1.0,1
HSPA5 gene,GENE_OR_GENE_PRODUCT,C1415761,1.0,1
HSPB1 gene,GENE_OR_GENE_PRODUCT,C1333928,0.9999999403953552,1
tert-Butylhydroperoxide,SIMPLE_CHEMICAL,C0076150,1.0,1
lymphoblast,CELL,C0229613,0.7220659852027893,1
technetium 99m,SIMPLE_CHEMICAL,C0303611,0.9999999403953552,1
ethylene,SIMPLE_CHEMICAL,C0015075,1.0,1
Pedunculopontine Tegmental Nucleus,SIMPLE_CHEMICAL,C0262306,1.0,1
prosultiamine,SIMPLE_CHEMICAL,C0072310,1.0,1
Cerebrovascular Circulation,PATHOLOGICAL_FORMATION,C0007818,1.0,1
medial olfactory area,MULTI_TISSUE_STRUCTURE,C0596892,0.8928598761558533,1
HIV,ORGANISM,C0019682,1.0,1
ethanol,SIMPLE_CHEMICAL,C0001962,1.0,1
lactacystin,SIMPLE_CHEMICAL,C0125179,1.0,1
3-methyladenine,SIMPLE_CHEMICAL,C0047569,1.0,1
PC12 Cells,CELL,C0085262,1.0,1
Cathepsins B,GENE_OR_GENE_PRODUCT,C0699919,1.0,1
Temporal - Regional site descriptor,PATHOLOGICAL_FORMATION,C0442043,0.827843964099884,1
Gyrus Cinguli,PATHOLOGICAL_FORMATION,C0018427,1.0,1
NAT2 gene,GENE_OR_GENE_PRODUCT,C0796518,1.0,1
"NAT2 protein, human",GENE_OR_GENE_PRODUCT,C1261253,1.0,1
trihexyphenidyl,SIMPLE_CHEMICAL,C0041009,0.9999998807907104,1
SUCLA2 gene,GENE_OR_GENE_PRODUCT,C1420510,1.0,1
SQSTM1 gene,GENE_OR_GENE_PRODUCT,C1420393,1.0,1
"AURAL ATRESIA, CONGENITAL",SIMPLE_CHEMICAL,C1842937,1.0,1
Fiber cell of lens,CELL,C0229224,0.8310436010360718,1
Dorsal nucleus of vagus nerve,MULTI_TISSUE_STRUCTURE,C0926535,0.8062707185745239,1
CD4 Antigens,GENE_OR_GENE_PRODUCT,C0003323,1.0,1
FOXP3 gene,GENE_OR_GENE_PRODUCT,C1416467,1.0,1
Peripheral,ORGANISM_SUBSTANCE,C0205100,0.9999998807907104,1
caseins,GENE_OR_GENE_PRODUCT,C0007332,0.9999999403953552,1
transforming growth factor beta 1,GENE_OR_GENE_PRODUCT,C1704256,1.0,1
"TGFB1 protein, human",GENE_OR_GENE_PRODUCT,C0080222,1.0,1
promazine,SIMPLE_CHEMICAL,C0033399,1.0,1
omeprazole,SIMPLE_CHEMICAL,C0028978,1.0,1
aspirin,SIMPLE_CHEMICAL,C0004057,1.0,1
donepezil,SIMPLE_CHEMICAL,C0527316,1.0,1
pramipexole,SIMPLE_CHEMICAL,C0074710,1.0,1
nimodipine,SIMPLE_CHEMICAL,C0028094,1.0,1
carbidopa,SIMPLE_CHEMICAL,C0006982,1.0,1
NAGLU gene,GENE_OR_GENE_PRODUCT,C1417593,0.9999998807907104,1
ALPHA-N-ACETYLGLUCOSAMINIDASE,GENE_OR_GENE_PRODUCT,C0051437,1.0,1
heparan sulfate,SIMPLE_CHEMICAL,C0019143,1.0,1
MPS III B,CANCER,C0086648,1.0,1
Prostaglandin-Endoperoxide Synthase,GENE_OR_GENE_PRODUCT,C0033551,0.9999998807907104,1
