entity,class,kb_id,link_confidence,mentions
"SLC6A4 protein, human",GENE_OR_GENE_PRODUCT,C1456457,1.0,1
Fetal Alcohol Syndrome,GENE_OR_GENE_PRODUCT,C0015923,1.0,1
Structure of suprachiasmatic nucleus,MULTI_TISSUE_STRUCTURE,C0038866,1.0,1
Excitatory Amino Acid Transporter 1,GENE_OR_GENE_PRODUCT,C0379752,1.0,1
4-hydroxybutyrate dehydrogenase,SIMPLE_CHEMICAL,C0048331,1.0,1
Aldo-Keto Reductases,GENE_OR_GENE_PRODUCT,C4317070,1.0,1
"Mice, Inbred AKR",GENE_OR_GENE_PRODUCT,C0025918,0.8797248601913452,1
Central gray substance of midbrain,MULTI_TISSUE_STRUCTURE,C0228398,0.8892788887023926,1
folic acid,SIMPLE_CHEMICAL,C0016410,1.0,1
lindane,SIMPLE_CHEMICAL,C0005038,1.0,1
Dieldrin,SIMPLE_CHEMICAL,C0012141,1.0,1
Aroclor,SIMPLE_CHEMICAL,C0600162,1.0,1
Cytochrome P450,GENE_OR_GENE_PRODUCT,C0010762,1.0,1
cortical Lewy body,MULTI_TISSUE_STRUCTURE,C3548436,1.0,1
clonazepam,SIMPLE_CHEMICAL,C0009011,1.0,1
Eye,ORGAN,C0015392,0.9999999403953552,1
glial cytoplasmic inclusion,CELLULAR_COMPONENT,C3548440,0.9544697999954224,1
Striatonigral Degeneration,TISSUE,C0270733,0.7995629906654358,1
Dorsal nucleus of vagus nerve,MULTI_TISSUE_STRUCTURE,C0926535,0.8062707185745239,1
Brain Neoplasms,CANCER,C0006118,1.0,1
Antiviral Agents,ORGANISM,C0003451,0.7824088931083679,1
thioredoxin peroxidase,GENE_OR_GENE_PRODUCT,C0633227,1.0,1
"Glutathione S-Transferase Theta-1, Human",GENE_OR_GENE_PRODUCT,C1447799,0.7782319784164429,1
Chelating Activity,SIMPLE_CHEMICAL,C3537131,1.0,1
Beta protein,GENE_OR_GENE_PRODUCT,C2362547,1.0,1
Simplexvirus,ORGANISM,C0206558,1.0,1
Creatine Kinase,GENE_OR_GENE_PRODUCT,C0010287,1.0,1
Lysosomal enzyme,GENE_OR_GENE_PRODUCT,C0391845,1.0,1
oxygen,SIMPLE_CHEMICAL,C0030054,1.0,1
neuromelanin,GENE_OR_GENE_PRODUCT,C0068608,1.0,1
GLUTATHIONE PEROXIDASE,SIMPLE_CHEMICAL,C0017822,0.9609352350234985,1
Glutathione Reductase,SIMPLE_CHEMICAL,C0017824,0.9582547545433044,1
Peroxyl,SIMPLE_CHEMICAL,C0722563,0.9999998807907104,1
PINK1 gene,GENE_OR_GENE_PRODUCT,C1422771,1.0,1
Antiparkinson Agents,SIMPLE_CHEMICAL,C0003405,1.0,1
SNCA gene,GENE_OR_GENE_PRODUCT,C1420276,1.0,1
alpha-Secretase,GENE_OR_GENE_PRODUCT,C0379526,1.0,1
bleomycin hydrolase,SIMPLE_CHEMICAL,C0053849,1.0,1
bleomycin,SIMPLE_CHEMICAL,C0005740,1.0,1
ADRA1B gene,GENE_OR_GENE_PRODUCT,C1332027,0.7959712147712708,1
bromocriptine,SIMPLE_CHEMICAL,C0006230,1.0,1
pergolide,SIMPLE_CHEMICAL,C0031007,1.0,1
pramipexole,SIMPLE_CHEMICAL,C0074710,1.0,1
Noradrenergic Neurons,CELL,C3178786,0.9999999403953552,1
Serotonergic Neurons,ORGAN,C3178783,1.0,1
GABAergic Neurons,ORGANISM,C0815002,1.0,1
Pedunculopontine Tegmental Nucleus,SIMPLE_CHEMICAL,C0262306,1.0,1
brain tissue surgical material,TISSUE,C0440746,1.0,1
Fibroblast Growth Factor 8,GENE_OR_GENE_PRODUCT,C0287829,1.0,1
Fibroblast Growth Factor,GENE_OR_GENE_PRODUCT,C0016026,0.9999998807907104,1
Ganglioneuroblastoma,CANCER,C0206718,1.0,1
"Ganglia, Spinal",MULTI_TISSUE_STRUCTURE,C0017070,1.0,1
Homo sapiens,ORGANISM,C0086418,1.0,1
mesna,GENE_OR_GENE_PRODUCT,C0000294,1.0,1
cannabidiol,ORGANISM,C0006863,1.0,1
iproniazid,SIMPLE_CHEMICAL,C0022059,1.0,1
isocarboxazid,SIMPLE_CHEMICAL,C0022154,1.0,1
nialamide,SIMPLE_CHEMICAL,C0027999,0.9999999403953552,1
tranylcypromine,SIMPLE_CHEMICAL,C0040778,1.0,1
phenelzine,SIMPLE_CHEMICAL,C0031392,1.0,1
Clorgyline,GENE_OR_GENE_PRODUCT,C0009035,1.0,1
THP-1 Cells,CELL,C4505192,1.0,1
Beta-glucuronidase,GENE_OR_GENE_PRODUCT,C0017776,1.0,1
BETA-N-ACETYLHEXOSAMINIDASE,GENE_OR_GENE_PRODUCT,C0005270,1.0,1
alpha-D-galactosidase enzyme,GENE_OR_GENE_PRODUCT,C0002268,0.9999999403953552,1
Roman numeral VII,GENE_OR_GENE_PRODUCT,C0445385,1.0,1
lysosomal,SIMPLE_CHEMICAL,C0521450,1.0,1
Disease,CANCER,C0012634,1.0,1
Wechsler adult intelligence scale (assessment scale),GENE_OR_GENE_PRODUCT,C0204456,1.0,1
LRRK2 gene,GENE_OR_GENE_PRODUCT,C1425650,1.0,1
Estrogen Receptor 1,GENE_OR_GENE_PRODUCT,C1121711,1.0,1
ESR1 gene,GENE_OR_GENE_PRODUCT,C1414461,0.9999999403953552,1
Lymphocyte,CELL,C0024264,1.0,1
Chromosomes,CELLULAR_COMPONENT,C0008633,1.0,1
Tetrahydrobiopterin,SIMPLE_CHEMICAL,C5575095,1.0,1
Dendritic Cells,CELL,C0011306,1.0,1
Antigen-Presenting Cells,CELL,C0003315,1.0,1
creatine,SIMPLE_CHEMICAL,C0010286,0.9999999403953552,1
Lactates,SIMPLE_CHEMICAL,C0022924,1.0,1
Spinocerebellar Tracts,MULTI_TISSUE_STRUCTURE,C0752211,0.9044967889785767,1
sodium,SIMPLE_CHEMICAL,C0037473,1.0,1
brain cell,CELL,C0596208,1.0,1
Schwann Cells,CELL,C0036387,0.9999999403953552,1
Myelinated nerve fiber,MULTI_TISSUE_STRUCTURE,C0027750,1.0,1
Glial Fibrillary Acidic Protein,GENE_OR_GENE_PRODUCT,C0017626,0.9292358756065369,1
Oropharyngeal,ORGAN,C0521367,1.0,1
Esophagus,ORGAN,C0014876,1.0,1
sphingosyl beta-glucoside,SIMPLE_CHEMICAL,C0074996,1.0,1
RCAN1 gene,GENE_OR_GENE_PRODUCT,C1414160,1.0,1
RCAN1 wt Allele,GENE_OR_GENE_PRODUCT,C2826583,1.0,1
Neoplasms,CANCER,C0027651,1.0,1
pars reticulata of substantia nigra,TISSUE,C0175413,0.9999998807907104,1
Corpus Callosum,MULTI_TISSUE_STRUCTURE,C0010090,1.0,1
Telencephalon,TISSUE,C0039452,1.0,1
clioquinol,SIMPLE_CHEMICAL,C0021978,1.0,1
Ferritin,GENE_OR_GENE_PRODUCT,C0015879,1.0,1
Glomus vagale tumor,TISSUE,C0474819,0.7695132493972778,1
Parahippocampal Gyrus,CANCER,C0228249,1.0,1
Insula of Reil,CANCER,C0021640,1.0,1
Stem cells,CELL,C0038250,1.0,1
